Identificativo;Tipologia;Essenza;Disposizione;Posizione;Portamento;EssenzaStorica;DataCensimento;AltezzaPrimoPalco;RangeAltezza;RangeDiametroFusto;Suolo;StatoVegetativo;QualitaBiomeccanica;ClassificazioneCedimento;Interferenze;TipoFoglia;CoordX;CoordY
2126;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-08-07;;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Pessimo;Pessimo;D;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470348.45933;4975128.78994
2127;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470346.80717;4975121.41375
2128;Ceppaia;Tilia X Americana;Filare;Tornello con cordolo;;No;2008-01-02;;;2) 20cm< & <=50cm;Ricoperto;;;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470345.15501;4975114.03756
2129;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-08-07;5;1) < 10m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;B;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470343.50285;4975106.66138
2130;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470341.85069;4975099.28519
2131;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470340.19852;4975091.909
2132;Ceppaia;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;;;2) 20cm< & <=50cm;Ricoperto;;;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470338.54636;4975084.53281
2133;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470336.8942;4975077.15663
2134;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470335.24204;4975069.78044
2135;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470333.58988;4975062.40425
2136;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-08-07;3.5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470331.93772;4975055.02807
2137;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470330.28556;4975047.65188
2138;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470328.6334;4975040.27569
2139;Fallanza;;Filare;Tornello con cordolo;;No;2008-01-02;;;;Ricoperto;;;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";;1470326.98124;4975032.89951
2140;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470325.32908;4975025.52332
2141;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470323.67691;4975018.14713
2142;Fallanza;;Filare;Tornello con cordolo;;No;2008-01-02;;;;Ricoperto;;;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";;1470322.02475;4975010.77095
2143;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470320.37259;4975003.39476
